2020-11-18 14:12:46.094232 +0100 CET m=+1.421768101,-6843393120403456.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:47.4403325 +0100 CET m=+2.767868601,6745286508544.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:48.7953507 +0100 CET m=+4.122886801,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:50.2355112 +0100 CET m=+5.563047301,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:51.658798 +0100 CET m=+6.986334101,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:53.0779725 +0100 CET m=+8.405508601,-6869781399470080.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:54.5034497 +0100 CET m=+9.830985801,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:55.8576034 +0100 CET m=+11.185139501,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:57.2029937 +0100 CET m=+12.530529801,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:58.559993 +0100 CET m=+13.887529101,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:12:59.9049874 +0100 CET m=+15.232523501,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:01.2414603 +0100 CET m=+16.568996401,1895633021365743734071754752.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:02.595855 +0100 CET m=+17.923391101,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:03.9422432 +0100 CET m=+19.269779301,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:05.2961724 +0100 CET m=+20.623708501,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:06.6435929 +0100 CET m=+21.971129001,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:07.9805509 +0100 CET m=+23.308087001,-1986442533908715820102893648740352.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:09.3307232 +0100 CET m=+24.658259301,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:10.6800162 +0100 CET m=+26.007552301,107925590769664.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:12.033912 +0100 CET m=+27.361448101,1985174883308487590701396945534976.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:13.3807881 +0100 CET m=+28.708324201,-0.005970,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:14.8094531 +0100 CET m=+30.136989201,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:16.2272272 +0100 CET m=+31.554763301,6745286508544.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:17.5786363 +0100 CET m=+32.906172401,130805032062135901774734677732256382976.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:18.9366474 +0100 CET m=+34.264183501,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:20.2821405 +0100 CET m=+35.609676601,100577.914062,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:21.6362454 +0100 CET m=+36.963781501,0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:22.9842172 +0100 CET m=+38.311753301,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:24.3125684 +0100 CET m=+39.640104501,-0.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:25.6732644 +0100 CET m=+41.000800501,121899503832406314701662715904.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:27.0228353 +0100 CET m=+42.350371401,-1939887704871869522327581491200.000000,-65711858271740445251755776355929686016.000000,0.000000,22.90000
2020-11-18 14:13:28.3746807 +0100 CET m=+43.702216801,6.142645,-65711858271740445251755776355929686016.000000,0.000000,22.90000
